# Data source: 'C:\Sciebo_files\eegFloss_v1.0\0.eegFloss_v1.0_beta\sample_data\Zmax\sub01'.
# EEG signals' sampling rate: 256 Hz and (checked) duration: 484.5 minutes.
# EEG data usability was assessed by eegFloss v1.0 (GitHub.com/Niloy333/eegFloss)
# using eegUsability model: 'default (v1.0)' in 10-second epochs at 2025-07-06 15:51:50.
# Sleep scores were imported from 'DreamentoScorer.txt'; scoring was performed in 30-second epochs.
# This file contains aggregated sleep and usability scores based on the majority rule.
# Class labels: -1 = Unusable Data; 0-4 = W; N1; N2; N3; REM; 9 = placeholder; (or check 'DreamentoScorer.txt').
# <<<e>>><<<n>>><<<d>>><<<o>>><<<f>>><<<h>>><<<e>>><<<a>>><<<d>>><<<e>>><<<r>>>
Sleep_scores,Start_time_sec,End_time_sec
0,18690.00390625,18720.0
0,18720.00390625,18750.0
0,18750.00390625,18780.0
0,18780.00390625,18810.0
0,18810.00390625,18840.0
0,18840.00390625,18870.0
0,18870.00390625,18900.0
0,18900.00390625,18930.0
0,18930.00390625,18960.0
0,18960.00390625,18990.0
0,18990.00390625,19020.0
3,19020.00390625,19050.0
3,19050.00390625,19080.0
3,19080.00390625,19110.0
-1,19110.00390625,19140.0
-1,19140.00390625,19170.0
-1,19170.00390625,19200.0
-1,19200.00390625,19230.0
0,19230.00390625,19260.0
-1,19260.00390625,19290.0
-1,19290.00390625,19320.0
-1,19320.00390625,19350.0
-1,19350.00390625,19380.0
-1,19380.00390625,19410.0
-1,19410.00390625,19440.0
-1,19440.00390625,19470.0
-1,19470.00390625,19500.0
-1,19500.00390625,19530.0
-1,19530.00390625,19560.0
-1,19560.00390625,19590.0
-1,19590.00390625,19620.0
-1,19620.00390625,19650.0
-1,19650.00390625,19680.0
-1,19680.00390625,19710.0
-1,19710.00390625,19740.0
-1,19740.00390625,19770.0
-1,19770.00390625,19800.0
-1,19800.00390625,19830.0
-1,19830.00390625,19860.0
-1,19860.00390625,19890.0
-1,19890.00390625,19920.0
-1,19920.00390625,19950.0
-1,19950.00390625,19980.0
-1,19980.00390625,20010.0
0,20010.00390625,20040.0
-1,20040.00390625,20070.0
-1,20070.00390625,20100.0
-1,20100.00390625,20130.0
-1,20130.00390625,20160.0
-1,20160.00390625,20190.0
-1,20190.00390625,20220.0
-1,20220.00390625,20250.0
-1,20250.00390625,20280.0
-1,20280.00390625,20310.0
-1,20310.00390625,20340.0
-1,20340.00390625,20370.0
-1,20370.00390625,20400.0
-1,20400.00390625,20430.0
-1,20430.00390625,20460.0
-1,20460.00390625,20490.0
-1,20490.00390625,20520.0
-1,20520.00390625,20550.0
-1,20550.00390625,20580.0
-1,20580.00390625,20610.0
-1,20610.00390625,20640.0
-1,20640.00390625,20670.0
-1,20670.00390625,20700.0
-1,20700.00390625,20730.0
0,20730.00390625,20760.0
0,20760.00390625,20790.0
0,20790.00390625,20820.0
0,20820.00390625,20850.0
0,20850.00390625,20880.0
0,20880.00390625,20910.0
0,20910.00390625,20940.0
-1,20940.00390625,20970.0
-1,20970.00390625,21000.0
-1,21000.00390625,21030.0
-1,21030.00390625,21060.0
-1,21060.00390625,21090.0
0,21090.00390625,21120.0
-1,21120.00390625,21150.0
0,21150.00390625,21180.0
0,21180.00390625,21210.0
-1,21210.00390625,21240.0
-1,21240.00390625,21270.0
-1,21270.00390625,21300.0
-1,21300.00390625,21330.0
-1,21330.00390625,21360.0
-1,21360.00390625,21390.0
-1,21390.00390625,21420.0
-1,21420.00390625,21450.0
-1,21450.00390625,21480.0
-1,21480.00390625,21510.0
-1,21510.00390625,21540.0
-1,21540.00390625,21570.0
-1,21570.00390625,21600.0
-1,21600.00390625,21630.0
-1,21630.00390625,21660.0
-1,21660.00390625,21690.0
-1,21690.00390625,21720.0
-1,21720.00390625,21750.0
-1,21750.00390625,21780.0
-1,21780.00390625,21810.0
0,21810.00390625,21840.0
0,21840.00390625,21870.0
0,21870.00390625,21900.0
-1,21900.00390625,21930.0
-1,21930.00390625,21960.0
-1,21960.00390625,21990.0
-1,21990.00390625,22020.0
-1,22020.00390625,22050.0
-1,22050.00390625,22080.0
-1,22080.00390625,22110.0
0,22110.00390625,22140.0
0,22140.00390625,22170.0
0,22170.00390625,22200.0
0,22200.00390625,22230.0
0,22230.00390625,22260.0
3,22260.00390625,22290.0
0,22290.00390625,22320.0
0,22320.00390625,22350.0
0,22350.00390625,22380.0
0,22380.00390625,22410.0
0,22410.00390625,22440.0
0,22440.00390625,22470.0
0,22470.00390625,22500.0
0,22500.00390625,22530.0
0,22530.00390625,22560.0
0,22560.00390625,22590.0
0,22590.00390625,22620.0
0,22620.00390625,22650.0
0,22650.00390625,22680.0
0,22680.00390625,22710.0
0,22710.00390625,22740.0
0,22740.00390625,22770.0
0,22770.00390625,22800.0
0,22800.00390625,22830.0
0,22830.00390625,22860.0
0,22860.00390625,22890.0
0,22890.00390625,22920.0
0,22920.00390625,22950.0
0,22950.00390625,22980.0
0,22980.00390625,23010.0
0,23010.00390625,23040.0
0,23040.00390625,23070.0
0,23070.00390625,23100.0
-1,23100.00390625,23130.0
-1,23130.00390625,23160.0
-1,23160.00390625,23190.0
-1,23190.00390625,23220.0
-1,23220.00390625,23250.0
-1,23250.00390625,23280.0
-1,23280.00390625,23310.0
-1,23310.00390625,23340.0
-1,23340.00390625,23370.0
-1,23370.00390625,23400.0
-1,23400.00390625,23430.0
-1,23430.00390625,23460.0
-1,23460.00390625,23490.0
-1,23490.00390625,23520.0
-1,23520.00390625,23550.0
-1,23550.00390625,23580.0
-1,23580.00390625,23610.0
-1,23610.00390625,23640.0
0,23640.00390625,23670.0
0,23670.00390625,23700.0
-1,23700.00390625,23730.0
-1,23730.00390625,23760.0
0,23760.00390625,23790.0
0,23790.00390625,23820.0
-1,23820.00390625,23850.0
-1,23850.00390625,23880.0
-1,23880.00390625,23910.0
-1,23910.00390625,23940.0
-1,23940.00390625,23970.0
-1,23970.00390625,24000.0
-1,24000.00390625,24030.0
-1,24030.00390625,24060.0
-1,24060.00390625,24090.0
-1,24090.00390625,24120.0
-1,24120.00390625,24150.0
-1,24150.00390625,24180.0
-1,24180.00390625,24210.0
-1,24210.00390625,24240.0
-1,24240.00390625,24270.0
-1,24270.00390625,24300.0
-1,24300.00390625,24330.0
-1,24330.00390625,24360.0
-1,24360.00390625,24390.0
-1,24390.00390625,24420.0
0,24420.00390625,24450.0
0,24450.00390625,24480.0
0,24480.00390625,24510.0
0,24510.00390625,24540.0
0,24540.00390625,24570.0
0,24570.00390625,24600.0
0,24600.00390625,24630.0
0,24630.00390625,24660.0
0,24660.00390625,24690.0
0,24690.00390625,24720.0
0,24720.00390625,24750.0
0,24750.00390625,24780.0
0,24780.00390625,24810.0
0,24810.00390625,24840.0
0,24840.00390625,24870.0
0,24870.00390625,24900.0
0,24900.00390625,24930.0
0,24930.00390625,24960.0
0,24960.00390625,24990.0
